ScanID,EchoTime,RepetitionTime,InversionTime
sub-OAS30184_ses-d0876_run-02_T1w,0.00316,2.4,1.0
sub-OAS30184_ses-d0876_T2w,0.455,3.2,
sub-OAS30636_sess-d2289_T1w,0.00275,2.4,
sub-OAS30250_ses-d1233_T1w,0.00316,2.4,1.0
sub-OAS30250_ses-d1233_T2w,0.455,3.2,
sub-OAS31372_sess-d1245_FLAIR,0.091,9.0,2.5
sub-OAS31372_sess-d1245_T1w,0.00295,2.3,0.9
sub-OAS31128_ses-d1405_run-02_T1w,0.00316,2.4,1.0
sub-OAS31128_ses-d1405_T2w,0.455,3.2,
sub-OAS30143_ses-d3507_T2w,0.455,3.2,
sub-OAS30143_ses-d3507_T1w,0.00316,2.4,1.0
sub-OAS30029_ses-d0893_T2w,0.455,3.2,
sub-OAS30029_ses-d0893_T1w,0.00316,2.4,1.0
sub-OAS30863_ses-d1607_run-02_T1w,0.00316,2.4,1.0
sub-OAS30863_ses-d1607_T2w,0.455,3.2,
sub-OAS31072_ses-d4035_T1w,0.00313,2.4,1.0
sub-OAS30908_ses-d0065_run-02_T1w,0.00316,2.4,1.0
sub-OAS30908_ses-d0065_T2w,0.455,3.2,
sub-OAS30813_sess-d1156_FLAIR,0.091,9.0,2.5
sub-OAS30813_sess-d1156_T1w,0.00295,2.3,0.9
sub-OAS30321_ses-d0075_T2w,0.455,3.2,
sub-OAS30321_ses-d0075_run-02_T1w,0.00316,2.4,1.0
sub-OAS31081_ses-d3636_T2w,0.455,3.2,
sub-OAS31081_ses-d3636_FLAIR,0.076,9.0,2.5
sub-OAS31081_ses-d3636_T1w,0.00316,2.4,1.0
sub-OAS30898_ses-d0358_T2w,0.455,3.2,
sub-OAS30898_ses-d0358_run-02_T1w,0.00316,2.4,1.0
sub-OAS31025_ses-d2560_FLAIR,0.076,9.0,2.5
sub-OAS31025_ses-d2560_T2w,0.455,3.2,
sub-OAS31025_ses-d2560_T1w,0.00316,2.4,1.0
sub-OAS30252_sess-d0119_FLAIR,0.091,9.0,2.5
sub-OAS30252_sess-d0119_T1w,0.00295,2.3,0.9
sub-OAS30178_ses-d1384_run-02_T1w,0.00316,2.4,1.0
sub-OAS30178_ses-d1384_T2w,0.455,3.2,
sub-OAS30178_ses-d1384_FLAIR,0.076,9.0,2.5
sub-OAS30007_sess-d3807_FLAIR,0.094,9.0,
sub-OAS30007_sess-d3807_T2w,0.566,3.2,
sub-OAS30007_sess-d3807_T1w,0.00295,2.3,
sub-OAS30414_sess-d2163_FLAIR,0.091,9.0,2.5
sub-OAS30414_sess-d2163_T1w,0.00295,2.3,0.9
sub-OAS30414_sess-d2163_T2w,0.564,3.2,
sub-OAS31048_sess-d3426_T1w,0.00213,2.4,1.0
sub-OAS30851_ses-d0000_run-02_T1w,0.00316,2.4,1.0
sub-OAS30851_ses-d0000_T2w,0.455,3.2,
sub-OAS30812_ses-d0055_FLAIR,0.091,9.0,2.5
sub-OAS30812_ses-d0055_T1w,0.00295,2.3,0.9
sub-OAS30335_ses-d3812_FLAIR,0.091,9.0,2.5
sub-OAS30335_ses-d3812_T1w,0.00295,2.3,0.9
sub-OAS30919_ses-d2502_T2w,0.455,3.2,
sub-OAS30919_ses-d2502_run-02_FLAIR,0.076,9.0,2.5
sub-OAS30919_ses-d2502_T1w,0.00316,2.4,1.0
sub-OAS31219_sess-d0098_FLAIR,0.091,9.0,
sub-OAS31219_sess-d0098_T2w,0.564,3.2,
sub-OAS31219_sess-d0098_T1w,0.00295,2.3,
sub-OAS30004_ses-d2232_T2w,0.454,3.2,
sub-OAS30004_ses-d2232_run-02_T1w,0.00213,2.4,1.0
sub-OAS30004_ses-d2232_FLAIR,0.091,9.0,2.5
sub-OAS30445_ses-d0133_T1w,0.00295,2.3,0.9
sub-OAS30445_ses-d0133_FLAIR,0.091,9.0,2.5
sub-OAS30180_ses-d0051_run-02_T1w,0.00316,2.4,1.0
sub-OAS30180_ses-d0051_T2w,0.455,3.2,
sub-OAS31229_sess-d0025_T2w,0.564,3.2,
sub-OAS31229_sess-d0025_T1w,0.00295,2.3,0.9
sub-OAS31229_sess-d0025_run-02_FLAIR,0.091,9.0,2.5
sub-OAS30955_ses-d0133_FLAIR,0.091,9.0,2.5
sub-OAS30955_ses-d0133_T1w,0.00295,2.3,0.9
sub-OAS30185_ses-d3787_T2w,0.455,3.2,
sub-OAS30185_ses-d3787_T1w,0.00316,2.4,1.0
sub-OAS30361_ses-d2151_run-02_T1w,0.00316,2.4,1.0
sub-OAS30361_ses-d2151_T2w,0.455,3.2,
sub-OAS30112_ses-d0259_T1w,0.00213,2.4,1.0
sub-OAS30097_ses-d2551_T1w,0.00295,2.3,0.9
sub-OAS30097_ses-d2551_FLAIR,0.091,9.0,2.5
sub-OAS30883_ses-d0842_T2w,0.00316,2.4,
sub-OAS30943_ses-d0295_FLAIR,0.091,9.0,2.5
sub-OAS30943_ses-d0295_T1w,0.00295,2.3,0.9
sub-OAS31363_sess-d0049_FLAIR,0.394,5.0,
sub-OAS31363_sess-d0049_T1w,0.00275,2.4,
sub-OAS30434_ses-d0054_FLAIR,0.091,9.0,2.5
sub-OAS30434_ses-d0054_T1w,0.00295,2.3,0.9
sub-OAS30276_ses-d0138_T1w,0.00393,1.9,1.1
sub-OAS30072_ses-d2219_T2w,0.455,3.2,
sub-OAS30072_ses-d2219_T1w,0.00316,2.4,1.0
sub-OAS31076_sess-d1261_T1w,0.00295,2.3,0.9
sub-OAS31076_sess-d1261_FLAIR,0.091,9.0,2.5
sub-OAS31009_ses-d3330_T1w,0.00316,2.4,1.0
sub-OAS31009_ses-d3330_T2w,0.455,3.2,
sub-OAS30073_ses-d2851_T2w,0.455,3.2,
sub-OAS30073_ses-d2851_FLAIR,0.076,9.0,2.5
sub-OAS30073_ses-d2851_T1w,0.00316,2.4,1.0
sub-OAS31161_ses-d0056_T1w,0.00295,2.3,0.9
sub-OAS31161_ses-d0056_FLAIR,0.091,9.0,2.5
sub-OAS30568_ses-d1765_T1w,0.00313,2.4,1.0
sub-OAS30469_ses-d0112_T1w,0.00295,2.3,0.9
sub-OAS30469_ses-d0112_FLAIR,0.091,9.0,2.5
sub-OAS30241_ses-d1706_run-02_T1w,0.00316,2.4,1.0
sub-OAS30241_ses-d1706_FLAIR,0.076,9.0,2.5
sub-OAS30241_ses-d1706_T2w,0.455,3.2,
sub-OAS30244_ses-d1526_T1w,0.00295,2.3,0.9
sub-OAS30244_ses-d1526_FLAIR,0.091,9.0,2.5
sub-OAS30725_ses-d1182_T2w,0.455,3.2,
sub-OAS30725_ses-d1182_run-02_FLAIR,0.076,9.0,2.5
sub-OAS30725_ses-d1182_run-02_T1w,0.00316,2.4,1.0
sub-OAS31113_ses-d0881_T1w,0.00295,2.3,0.9
sub-OAS31113_ses-d0881_FLAIR,0.091,9.0,2.5
sub-OAS31088_ses-d2045_T2w,0.455,3.2,
sub-OAS31088_ses-d2045_T1w,0.00316,2.4,1.0
sub-OAS30411_ses-d1227_T2w,0.455,3.2,
sub-OAS30411_ses-d1227_run-02_T1w,0.00316,2.4,1.0
sub-OAS30574_ses-d0918_T1w,0.00316,2.4,1.0
sub-OAS30574_ses-d0918_T2w,0.455,3.2,
sub-OAS30064_ses-d0687_T2w,0.455,3.2,
sub-OAS30064_ses-d0687_run-02_T1w,0.00316,2.4,1.0
sub-OAS30635_ses-d0022_T2w,0.455,3.2,
sub-OAS30635_ses-d0022_T1w,0.00316,2.4,1.0
sub-OAS30212_sess-d4255_T1w,0.00295,2.3,
sub-OAS30212_sess-d4255_T2w,0.566,3.2,
sub-OAS30212_sess-d4255_FLAIR,0.094,9.0,
sub-OAS30214_ses-d4464_T2w,0.455,3.2,
sub-OAS30214_ses-d4464_T1w,0.00316,2.4,1.0
sub-OAS30400_sess-d1134_T1w,0.00295,2.3,0.9
sub-OAS30400_sess-d1134_FLAIR,0.091,9.0,2.5
sub-OAS31048_ses-d3195_T1w,0.00295,2.3,0.9
sub-OAS31048_ses-d3195_FLAIR,0.091,9.0,2.5
sub-OAS31017_ses-d0072_T1w,0.00316,2.4,1.0
sub-OAS31017_ses-d0072_T2w,0.455,3.2,
sub-OAS30542_sess-d3906_FLAIR,0.091,9.0,2.5
sub-OAS30542_sess-d3906_T1w,0.00295,2.3,0.9
sub-OAS30581_ses-d1374_run-02_T1w,0.00316,2.4,1.0
sub-OAS30581_ses-d1374_T2w,0.455,3.2,
sub-OAS30739_ses-d0051_T1w,0.00295,2.3,0.9
sub-OAS30739_ses-d0051_FLAIR,0.091,9.0,2.5
sub-OAS30424_ses-d0095_run-02_T1w,0.00316,2.4,1.0
sub-OAS30424_ses-d0095_T2w,0.455,3.2,
sub-OAS30857_ses-d1631_T1w,0.00313,2.4,1.0
sub-OAS31152_ses-d0092_T1w,0.00316,2.4,1.0
sub-OAS31152_ses-d0092_T2w,0.455,3.2,
sub-OAS30032_ses-d3499_T2w,0.455,3.2,
sub-OAS30032_ses-d3499_T1w,0.00316,2.4,1.0
sub-OAS30769_ses-d0039_T2w,0.455,3.2,
sub-OAS30769_ses-d0039_run-02_T1w,0.00316,2.4,1.0
sub-OAS30010_sess-d1514_T1w,0.00295,2.3,0.9
sub-OAS30010_sess-d1514_FLAIR,0.091,9.0,2.5
sub-OAS30391_ses-d0192_T2w,0.455,3.2,
sub-OAS30391_ses-d0192_T1w,0.00316,2.4,1.0
sub-OAS30152_ses-d0111_run-02_T1w,0.00316,2.4,1.0
sub-OAS30152_ses-d0111_T2w,0.455,3.2,
sub-OAS30781_ses-d0048_T1w,0.00316,2.4,1.0
sub-OAS30781_ses-d0048_T2w,0.455,3.2,
sub-OAS30553_ses-d0822_run-02_T2w,0.455,3.2,
sub-OAS30553_ses-d0822_run-02_T1w,0.00316,2.4,1.0
sub-OAS30107_ses-d0940_T2w,0.455,3.2,
sub-OAS30107_ses-d0940_run-02_T1w,0.00316,2.4,1.0
sub-OAS31380_sess-d0132_T1w,0.00295,2.3,0.9
sub-OAS31380_sess-d0132_FLAIR,0.091,9.0,2.5
sub-OAS30449_ses-d2433_T1w,0.00213,2.4,1.0
sub-OAS30442_ses-d0903_T1w,0.00393,1.9,1.1
sub-OAS30907_ses-d3359_FLAIR,0.091,9.0,2.5
sub-OAS30907_ses-d3359_T1w,0.00295,2.3,0.9
sub-OAS30052_ses-d0693_T2w,0.455,3.2,
sub-OAS30052_ses-d0693_run-02_T1w,0.00316,2.4,1.0
sub-OAS31018_sess-d2397_run-02_T1w,0.00275,2.4,1.0
sub-OAS31018_sess-d2397_run-02_FLAIR,0.394,5.0,1.8
sub-OAS30635_ses-d0544_T1w,0.00316,2.4,1.0
sub-OAS30635_ses-d0544_T2w,0.455,3.2,
sub-OAS30673_ses-d2418_T1w,0.00316,2.4,1.0
sub-OAS30673_ses-d2418_T2w,0.455,3.2,
sub-OAS30363_ses-d0087_T2w,0.455,3.2,
sub-OAS30363_ses-d0087_run-02_T1w,0.00316,2.4,1.0
sub-OAS30283_sess-d2660_FLAIR,0.091,9.0,2.5
sub-OAS30283_sess-d2660_T1w,0.00295,2.3,0.9
sub-OAS30202_ses-d0175_T2w,0.455,3.2,
sub-OAS30202_ses-d0175_run-02_T1w,0.00316,2.4,1.0
sub-OAS30823_ses-d2277_T1w,0.00316,2.4,1.0
sub-OAS30823_ses-d2277_T2w,0.455,3.2,
sub-OAS30866_sess-d1502_T1w,0.00295,2.3,0.9
